word,translation,phonetic
commencement,noun: 生效日期，生效，毕业典礼，开课，动工，开始，开工,kә'mensmәnt
crime,noun: 犯罪，罪，罪案，罪行，重案，犯罪率，罪恶,kraim
attack,noun: 攻击，袭击，进攻，发作，攻，袭击事件，抨击，打击 verb: 攻打,ә'tæk
population,noun: 人口，种群，人群，群体，总人口，居民，人数，数量,.pɒpju'leiʃәn
deny,verb: 否认，否定，拒绝，抵赖，剥夺,di'nai
target,noun: 目标，靶，靶子，指标，对象 verb: 瞄准，针对,'tɑ:git
despite,prep: 尽管,di'spait
contrary,adj: 相反，反之，违背，正好相反，违反，违，逆向 noun: 恰恰相反，反而,'kɒntrәri
evidence,noun: 证据，证物，证据证明，证供，迹象，依据，证明,'evidәns
course,noun: 课程，当然，过程，课，历程，路线，进程，教程，学科,kɒ:s
squadron,noun: 中队，大队,'skwɒdrәn
pledge,noun: 质押，承诺，誓言，新人，抵押 verb: 宣誓，发誓,pledʒ
lead,noun: 铅，领先 verb: 导致，带领，领导，引领，引导，引起，带来,li:d. led
accelerate,verb: 加快，加速，促进，加快推进,әk'selәreit
delivery,noun: 交货，交付，送货，发货，分娩，供货，传递，配送，输送，送,di'livәri
weapon,noun: 武器，兵器，凶器，利器，枪,'wepәn
effort,noun: 努力，精力，力气，工作量，心血，功夫,'efәt
will,modal: 将，会,wil
offensive,adj: 进攻，进攻性，冒犯，无礼，反感，令人厌恶，厌恶，令人讨厌 noun: 攻势,ә'fensiv
translate,verb: 翻译，转化，译,træns'leit
advance,noun: 提前，进展，推进，事先，预先，前进，进步 verb: 促进，推动,әd'vɑ:ns
limit,noun: 限制，极限，限，限度，限额，上限，限值，限定，界限,'limit
feature,noun: 特征，功能，特点，特性，篇专题，特色，专题,'fi:tʃә
device,noun: 装置，设备，器件，器，器械，仪，仪器,di'vais
export,noun: 出口，导出，外销，输出，出口商品，进出口,ik'spɒ:t
complex,adj: 复杂，复，复合，复数，复杂性，综合 noun: 情结，配合物，复合物,kәm'pleks
know,verb: 知道，认识，了解，知，晓得，明白，懂，清楚,nәu
coach,noun: 教练，主教练，教练员，长途汽车，主帅，客车，马车，指导，辅导，巴士 verb: 执教,kәutʃ
detail,noun: 细节，详细，细部，明细，详尽，详述，具体，详情，细致,'di:teil
strike,noun: 罢工，打击，击，攻击，袭击,straik
analyst,noun: 分析师，分析家,'ænәlist
concern,noun: 关注，关心，关怀，关切，担忧，担心，忧虑,kәn'sә:n
grow,verb: 成长，生长，增长，种植，长，长大，种，变，变得,grәu
say,verb: 说，说出，称，表示，说过，讲，认为,sei
tank,noun: 坦克，罐，储罐，水箱，油箱，槽，池，油罐，箱，缸，舱,tæŋk
plead,verb: 申辩，求情，恳求，辩护，恳请，认罪，答辩,pli:d
massacre,noun: 大屠杀，屠杀，惨案，残杀，惨败,'mæsәkә
calamity,noun: 灾难，灾害，殃，场灾难，灾祸，灾，浩劫，祸，危难,kә'læmiti
fate,noun: 命运，缘分，宿命，缘份，命中注定，命，缘,feit
